lo2_hz,lo2_ghz,severity_rank,if1_hz,if1_mhz,worst_tone_freq_hz,worst_tone_freq_ghz,worst_tone_level_dbc,margin_to_spec_db,coincident,coincident_with_carrier_bin,has_unknown_contributors,unknown_contributors_count,unknown_combining_mode,spur_type,spur_type_raw,top_origin,top_stage_path,top_dataset_id,top_kind,top_expression,top_m,top_n,top_sign,top_dbc,top_lineage_row_indices
23000000000.0,23.0,1,2360000000.0,2360.0,29380000000.0,29.38,-55.4511050064459,-4.5488949935541,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-55.4511050064459,757
23000000000.0,23.0,2,2370000000.0,2370.0,29360000000.0,29.36,-55.64068603329696,-4.359313966703041,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-55.64068603329696,"757,764"
23000000000.0,23.0,3,2380000000.0,2380.0,29340000000.0,29.34,-56.03051616950681,-3.969483830493189,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.03051616950682,"764,770"
23000000000.0,23.0,4,2300000000.0,2300.0,29500000000.0,29.5,-56.481950160945075,-3.5180498390549246,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.481950160945075,727
23000000000.0,23.0,5,2390000000.0,2390.0,29320000000.0,29.32,-56.61617259331517,-3.38382740668483,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.61617259331517,770
23000000000.0,23.0,6,2310000000.0,2310.0,29480000000.0,29.48,-56.92485661212075,-3.075143387879251,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.92485661212075,"727,735"
23000000000.0,23.0,7,2210000000.0,2210.0,29680000000.0,29.68,-56.94412378174072,-3.0558762182592787,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.94412378174072,677
23000000000.0,23.0,8,2290000000.0,2290.0,29520000000.0,29.52,-56.96996935904424,-3.030030640955758,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.96996935904424,"719,727"
23000000000.0,23.0,9,2350000000.0,2350.0,29400000000.0,29.4,-57.00261929748991,-2.9973807025100925,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.00261929748991,"750,757"
23000000000.0,23.0,10,2140000000.0,2140.0,29820000000.0,29.82,-57.16677440132208,-2.8332255986779202,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.16677440132208,"632,641"
23000000000.0,23.0,11,2220000000.0,2220.0,29660000000.0,29.66,-57.23921426767497,-2.760785732325033,True,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.25199024782148,"677,685"
